id_venta,fecha,cliente,ciudad,producto,categoria,cantidad,precio_unitario,importe,importe_std,medio_pago_efectivo,medio_pago_qr,medio_pago_tarjeta,medio_pago_transferencia,precio,email,alta
1,19-06-2024,Guadalupe Romero,Carlos Paz,Toallas Húmedas x50,Limpieza,1,2902.0,2902.0,-0.9182589695353444,False,False,True,False,2902.0,guadalupe.romero@mail.com,03-03-2023
2,17-03-2024,Olivia Gomez,Rio Cuarto,Aceitunas Negras 200g,Limpieza,5,2394.0,11970.0,0.8063964935333122,False,True,False,False,2394.0,olivia.gomez@mail.com,18-02-2023
2,17-03-2024,Olivia Gomez,Rio Cuarto,Helado Vainilla 1L,Alimentos,5,469.0,2345.0,-1.0241955699907084,False,True,False,False,469.0,olivia.gomez@mail.com,18-02-2023
2,17-03-2024,Olivia Gomez,Rio Cuarto,Fernet 750ml,Limpieza,2,4061.0,8122.0,0.07454005089015053,False,True,False,False,4061.0,olivia.gomez@mail.com,18-02-2023
2,17-03-2024,Olivia Gomez,Rio Cuarto,Medialunas de Manteca,Limpieza,1,2069.0,2069.0,-1.0766883917603323,False,True,False,False,2069.0,olivia.gomez@mail.com,18-02-2023
2,17-03-2024,Olivia Gomez,Rio Cuarto,Hamburguesas Congeladas x4,Alimentos,4,2420.0,9680.0,0.3708582259520128,False,True,False,False,2420.0,olivia.gomez@mail.com,18-02-2023
3,13-01-2024,Tomas Acosta,Rio Cuarto,Yerba Mate Suave 1kg,Alimentos,2,3878.0,7756.0,0.00493000463043192,False,False,True,False,3878.0,tomas.acosta@mail.com,20-01-2023
3,13-01-2024,Tomas Acosta,Rio Cuarto,Pepsi 1.5L,Limpieza,2,4973.0,9946.0,0.4214491338894039,False,False,True,False,4973.0,tomas.acosta@mail.com,20-01-2023
3,13-01-2024,Tomas Acosta,Rio Cuarto,Jugo en Polvo Naranja,Alimentos,1,1856.0,1856.0,-1.11719915638689,False,False,True,False,1856.0,tomas.acosta@mail.com,20-01-2023
4,27-02-2024,Martina Molina,Mendiolaza,Fanta Naranja 1.5L,Limpieza,2,2033.0,4066.0,-0.6968761994634524,False,False,False,True,2033.0,martina.molina@mail.com,05-02-2023
4,27-02-2024,Martina Molina,Mendiolaza,Bizcochos Salados,Alimentos,5,2380.0,11900.0,0.7930830967076831,False,False,False,True,2380.0,martina.molina@mail.com,05-02-2023
5,11-06-2024,Bruno Diaz,Rio Cuarto,Jugo en Polvo Limón,Limpieza,4,4090.0,16360.0,1.641336665883489,False,False,True,False,4090.0,bruno.diaz@mail.com,25-02-2023
6,05-05-2024,Uma Sanchez,Mendiolaza,Galletitas Vainilla,Alimentos,2,4015.0,8030.0,0.05704244363360924,False,False,False,True,4015.0,uma.sanchez@mail.com,01-04-2023
